Entity,Code,Share of plastic inadequately managed,,,,,,,,,,,,,
Lithuania,LTU,14,,,,,,,,,FALSE,,,,
Macao,MAC,0,,,,,,,,,FALSE,,,,
Madagascar,MDG,84,,,,,,,,,FALSE,,,,
Malaysia,MYS,55,,,,,,,,,FALSE,,,,
Maldives,MDV,66,,,,,,,,,FALSE,,,,
Malta,MLT,6,,,,,,,,,FALSE,,,,
Marshall Islands,MHL,77,,,,,,,,,FALSE,,,,
Martinique,MTQ,0,,,,,,,,,FALSE,,,,
Mauritania,MRT,82,,,,,,,,,FALSE,,,,
Mauritius,MUS,51,,,,,,,,,FALSE,,,,
Mexico,MEX,12,,,,,,,,,FALSE,,,,
Micronesia (country),FSM,81,,,,,,,,,FALSE,,,,
Monaco,MCO,0,,,,,,,,,FALSE,,,,
Montenegro,MNE,30,,,,,,,,,FALSE,,,,
Montserrat,MSR,12,,,,,,,,,FALSE,,,,
Morocco,MAR,66,,,,,,,,,FALSE,,,,
Mozambique,MOZ,84,,,,,,,,,FALSE,,,,
Myanmar,MMR,87,,,,,,,,,FALSE,,,,
Namibia,NAM,66,,,,,,,,,FALSE,,,,
Nauru,NRU,67,,,,,,,,,FALSE,,,,
Netherlands,NLD,0,,,,,,,,,FALSE,,,,
Netherlands Antilles,ANT,0,,,,,,,,,FALSE,,,,
New Caledonia,NCL,0,,,,,,,,,FALSE,,,,
New Zealand,NZL,0,,,,,,,,,FALSE,,,,
Nicaragua,NIC,45,,,,,,,,,FALSE,,,,
Nigeria,NGA,81,,,,,,,,,FALSE,,,,
Niue,NIU,0,,,,,,,,,FALSE,,,,
Norfolk Island,NFK,82,,,,,,,,,FALSE,,,,
North Korea,PRK,88,,,,,,,,,FALSE,,,,
Northern Mariana Islands,MNP,0,,,,,,,,,FALSE,,,,
Norway,NOR,0,,,,,,,,,FALSE,,,,
Oman,OMN,4,,,,,,,,,FALSE,,,,
Pakistan,PAK,86,,,,,,,,,FALSE,,,,
Palau,PLW,56,,,,,,,,,FALSE,,,,
Palestine,PSE,6,,,,,,,,,FALSE,,,,
Panama,PAN,18,,,,,,,,,FALSE,,,,
Papua New Guinea,PNG,86,,,,,,,,,FALSE,,,,
Peru,PER,25,,,,,,,,,FALSE,,,,
Philippines,PHL,81,,,,,,,,,FALSE,,,,
Poland,POL,12,,,,,,,,,FALSE,,,,
Portugal,PRT,0,,,,,,,,,FALSE,,,,
Puerto Rico,PRI,2,,,,,,,,,FALSE,,,,
Qatar,QAT,0,,,,,,,,,FALSE,,,,
Reunion,REU,0,,,,,,,,,FALSE,,,,
Romania,ROU,26,,,,,,,,,FALSE,,,,
Russia,RUS,16,,,,,,,,,FALSE,,,,
Saint Helena,SHN,25,,,,,,,,,FALSE,,,,
Saint Kitts and Nevis,KNA,6,,,,,,,,,FALSE,,,,
Saint Lucia,LCA,20,,,,,,,,,FALSE,,,,
Saint Pierre and Miquelon,SPM,0,,,,,,,,,FALSE,,,,
